"time","A0000","A0001","A0002","A0003","A0004","A0005","A0006","A0007","A0008","A1000","A1001","A1002","A1003","A1004","A1005","A1006","A1007","A1008","A1009","A1010","A1011","A1012","A1013","A1014","A1015","A1016","A1017","A1018","A1019","A1020","A1021","A1022","A1023","A1024","A1025","A1026","A1027","A1028","A1029","A1030","A1031","A1032","A1033","A1034","A1035","A1036","A1037","A1038","A1039","A1040","A1041","A1042","A1043","A1044","A1045","A1046","A1047","A1048","A1049","A1050","A1051","A1052","A1053","A1054","A1055","A1056","A1057","A1058","A1059","A1060","A1061","A1062","A1063"
2007,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820
2008,2894185008458860,2893551940188620,2894346385947120,2894313929996050,2893907569260040,2894050252645160,2894320115145710,2894182634994940,2894197428722980,2894011935143040,2893914403948510,2894271742316660,2893922459781730,2893797574582770,2894462097342100,2893835039214000,2894119131395380,2893580931592480,2893252210338280,2894181872402420,2894182837308500,2893898266272540,2894298435383300,2894368121334630,2894474832639870,2893384662682170,2894461192421990,2893420567357660,2893566496465400,2894386982654260,2894438748630360,2893778060725330,2894201019901390,2894184865375680,2894336704449990,2894416360368270,2894319494311610,2894208006457510,2894178057702330,2894176932257350,2894418450311250,2894346708574300,2894034095250130,2894207321820110,2893641336836480,2894256057410280,2894119137021500,2893946046962780,2894426176302180,2893672561652750,2893755466267530,2893718189372560,2893757336815890,2893901909172240,2894172206123600,2894237009640850,2893891796345440,2894274475660990,2894193105379470,2894053232141850,2894049496764160,2894371168127110,2894289659972360,2893937126951380,2894247593052450,2894079282916200,2894270868300920,2894078440789590,2894210487852450,2894165108881100,2894121427715010,2894288206282880,2894139107538000
2009,2894122098510280,2892786521375430,2894454630506090,2894370758766980,2893608170395130,2893853285500390,2894391544593210,2894119655488100,2894134848592070,2893804229554190,2893529408526880,2894258818713470,2893549534380220,2893288831712880,2894677596850120,2893359695723050,2894017412793870,2892957104515850,2892207354362580,2894126387462670,2894150919626220,2893574013288070,2894347080890450,2894510949892540,2894700990939850,2892482680375990,2894664138262490,2892616866866880,2892907192514990,2894527156623880,2894633069412880,2893343183580680,2894143215841410,2894091084736850,2894427004506680,2894584369966910,2894382148277620,2894184192288530,2894128569514410,2894102748824860,2894593588713130,2894458661730770,2893814825791560,2894184481135690,2893041379890580,2894280745414700,2893983270721310,2893619330761740,2894600922786430,2893131481190540,2893207734712880,2893163888746140,2893269462400140,2893586121006900,2894068862515930,2894215132225170,2893563908166140,2894293279623250,2894126041838720,2893893333216100,2893872962225140,2894494182774740,2894319495046390,2893623131532340,2894253193516720,2893881015087010,2894295053468020,2893891864338860,2894182671881420,2894070802651220,2893999403071460,2894333773691700,2894035246747130
2010,2894056113131260,2891983786844890,2894564664205180,2894420793490380,2893324770617750,2893653614936870,2894459662166180,2894053560831510,2894069102599290,2893609767469720,2893115647214950,2894227406438910,2893151863565220,2892750387650560,2894890167925030,2892847130206450,2893928960090750,2892348263334760,2891138831743050,2894072372195250,2894129661723220,2893266134842700,2894397406502100,2894661855898090,2894923592921860,2891556691785680,2894863161534580,2891822657140430,2892251905201330,2894664685264640,2894828937260240,2892921357948030,2894080154630810,2893977310723930,2894515894108550,2894752077214750,2894442268486200,2894165359541080,2894085809603940,2894027981940900,2894767437017330,2894572965616820,2893593240122960,2894167233692690,2892440480440710,2894313299035420,2893840320588910,2893279756378910,2894772471503080,2892603044273630,2892628030187510,2892594174114590,2892784449203500,2893280522820920,2893949623617420,2894190487246740,2893245915613930,2894304341363980,2894048579423250,2893746506597850,2893705897557490,2894613448273020,2894342644882290,2893311651366810,2894258482420670,2893669525193250,2894316465962750,2893697058665020,2894159003031020,2893967481019870,2893877307472780,2894378930923920,2893931964614960
2011,2893984546407760,2891143547050350,2894673376069160,2894463417295290,2893041095881480,2893448719110910,2894521932261770,2893981912219270,2893997727076420,2893417550329540,2892675043903380,2894178487673690,2892730228991190,2892184492550430,2895098488361840,2892300492773340,2893842535151330,2891739699886610,2890043834223850,2894016444741520,2894109326071030,2892958598709310,2894446677868010,2894812583104490,2895141643494640,2890605920032960,2895057016561100,2891024068630130,2891588160139730,2894798332875530,2895023074520170,2892499617775920,2894010564251900,2893842156920970,2894602221569200,2894917746588970,2894498605752320,2894146255349050,2894040511592570,2893949694796610,2894938185658890,2894685748683970,2893360806303470,2894147224285500,2891828165243490,2894345548204530,2893688623683230,2892923104987550,2894939534364700,2892073327979090,2892017703256440,2892002682800440,2892291721597280,2892970986328060,2893811657042270,2894159716280540,2892927016571350,2894306724730840,2893960789429110,2893599350213700,2893538197445030,2894726966789620,2894358190301930,2892992753311670,2894260964674510,2893440708976940,2894333286885530,2893491981286520,2894131942477630,2893854192766650,2893749734653870,2894420775234880,2893823574799050
2012,2893894738483410,2890247222509960,2894770977427200,2894489457732680,2892739067725060,2893225914313820,2894565603249460,2893891984025720,2893908102198390,2893210553162680,2892195725492910,2894100864176390,2892273438109910,2891577227178120,2895293344130440,2891704677276970,2893740730389760,2891107416068990,2888896250646000,2893948046449410,2894075629566420,2892629207679750,2894484539857340,2894950692456070,2895346991378970,2889607164890220,2895235934015270,2890194631466730,2890893330564230,2894919739053950,2895205346031440,2892059206369950,2893925334332240,2893681126188280,2894677869048360,2895072129472390,2894541989667700,2894115558796650,2893978888680760,2893856674598050,2895096284745020,2894786229783680,2893102306103800,2894109729319690,2891184971638580,2894364726138860,2893517259481080,2892534900302630,2895093325443880,2891519558253260,2891362124192540,2891374280424480,2891772922977800,2892644715591940,2893650055174690,2894112349915170,2892589874310390,2894287373594850,2893850264988010,2893436167118280,2893354858038670,2894824156428320,2894356217777680,2892651072966690,2894250019654380,2893181951764500,2894335315099520,2893263160101540,2894088754444120,2893720059257470,2893603651939190,2894447862633140,2893697377691750
2013,2893785467234610,2889300508759220,2894856058706240,2894499320820840,2892418643303540,2892984027732630,2894589517720140,2893782620538770,2893799082764630,2892989555519170,2891679933765400,2893999191687590,2891783736114420,2890930531005040,2895474104888670,2891060406410360,2893624676415440,2890452901828600,2887700540647140,2893866187080780,2894027179773700,2892278003816980,2894510034920580,2895074908661180,2895539079106270,2888561581661930,2895399252701980,2889338399473630,2890167314431760,2895028271456190,2895374259441030,2891598508866590,2893824380963640,2893492992844650,2894742119758710,2895214593271280,2894571963724310,2894071916912020,2893899471756440,2893747915189040,2895240876344660,2894873014202880,2892817592302750,2894053583377800,2890510806835460,2894369139679390,2893326585933330,2892115605297190,2895233112675290,2890942812699260,2890662910690900,2890708235165920,2891228058565390,2892296836543990,2893462237793310,2894047109504030,2892233351842230,2894245866833290,2893716572303220,2893256030716420,2893154821614200,2894904555989780,2894336777608740,2892285663050740,2894224872568240,2892892582044150,2894322054600510,2893008280389810,2894028193913920,2893564239702480,2893437807779430,2894459051030720,2893551980149720
2014,2893673613823140,2888329944919400,2894941615488350,2894504189202050,2892109383101660,2892739770584900,2894610593724310,2893670699562200,2893687442017710,2892778259626290,2891146227788430,2893886199641440,2891278275372240,2890266931342830,2895652041153160,2890393234517030,2893518347949930,2889808811158130,2886491508665300,2893784112329560,2893986644198690,2891937038426110,2894536064218880,2895204126111210,2895728081945550,2887502912346730,2895559484672710,2888488493959230,2889445432098120,2895134287606920,2895543319316730,2891147704401950,2893719148669580,2893292080327040,2894804916628910,2895356103978260,2894599562683270,2894030302536310,2893823329465770,2893637928161820,2895383908393100,2894960358890840,2892528376691600,2894000369690050,2889836505212400,2894378818950670,2893130674730530,2891687918695000,2895369888904430,2890374229450990,2889942215008710,2890032111951160,2890684763197800,2891956364840000,2893265188897880,2893979168977370,2891883093254080,2894198816137170,2893576303761920,2893084513438510,2892960515913960,2894981663250150,2894312374604650,2891919379463070,2894198384951780,2892593485433240,2894306220293870,2892749944032030,2893969239303310,2893402547494260,2893270533937390,2894469363944720,2893405576336920
2015,2893542921325560,2887306172913880,2895015363915780,2894489624025230,2891786735148700,2892477081123460,2894612485689800,2893539870564750,2893556991265160,2892557971095510,2890568957896960,2893742094918670,2890733419829950,2889558033768120,2895814540281430,2889676872871700,2893402553978550,2889147569024060,2885235549175140,2893689141203480,2893936384403170,2891580035822190,2894550129715770,2895322505042440,2895901568589360,2886399441432360,2895703035761160,2887613211378350,2888693045176730,2895225717679130,2895700098981070,2890682099913290,2893595994566910,2893059195952730,2894854970262410,2895484925198060,2894612133640480,2893977795529460,2893731250666800,2893512471503330,2895512741599770,2895035259627500,2892212320394820,2893930096584650,2889132495881800,2894376435988600,2892913577281570,2891228334364870,2895491178354810,2889787181053480,2889178260021380,2889316977664060,2890115136739890,2891599198508000,2893037331612920,2893893471104720,2891516911264820,2894129281102090,2893410856679780,2892900423756850,2892752299965090,2895041261953350,2894268305290040,2891529364416490,2894158298420750,2892263881529120,2894274332354040,2892467153199340,2893893807396510,2893217585349560,2893084552941440,2894464230533790,2893241253590190
2016,2893417112796520,2886278504129680,2895095512300370,2894477959405420,2891480294036970,2892219509707580,2894618955614740,2893413936416090,2893431376456370,2892351562156960,2889987587788450,2893597618239000,2890186316049490,2888847688540780,2895981358233150,2888956891806300,2893300760174280,2888504226484090,2883982200476940,2893600405578700,2893898038550110,2891239296387660,2894570797744640,2895450905199030,2896078993519810,2885299085311060,2895850251583300,2886754916005810,2887956130968380,2895321515479020,2895862427854970,2890231574652090,2893476188407540,2892824083616300,2894910034367440,2895619733857290,2894629654235290,2893932884927110,2893649896055540,2893392546498700,2895646374545940,2895116346986020,2891904773710310,2893870115101050,2888437958494180,2894384421687680,2892699471243970,2890773776844620,2895616872238290,2889216636409640,2888411069447930,2888605827726460,2889557337053410,2891255745807800,2892812062476740,2893812222716490,2891163522488340,2894062721238760,2893245525361960,2892730166945100,2892556497433630,2895104823658570,2894226934782580,2891150010973940,2894123263784040,2891933986362170,2894246823291260,2892186489982130,2893827423127640,2893035206641810,2892904446208530,2894464506021980,2893082901633190
2017,2893305221470000,2885263482285210,2895186841585650,2894474805504130,2891195623719390,2891976033769960,2894639170291470,2893302060972440,2893319593354820,2892164167691380,2889414564296590,2893461870211130,2889645477513760,2888147712547460,2896158445943820,2888247462731280,2893217866084340,2887885769592890,2882748425100820,2893524364566820,2893876975269090,2890921824142340,2894602771958500,2895594351437580,2896265415823650,2884216378824850,2896007726442890,2885923334399810,2887245897408610,2895426441330670,2896037440432000,2889802987093330,2893366171052540,2892597661482810,2894973851099040,2895763919385430,2894656904639040,2893902302376250,2893585369926320,2893285063057480,2895791233191510,2895210406521820,2891613181127010,2893827388263860,2887766933464490,2894407957791830,2892496786652260,2890334168124440,2895752015392740,2888670191883740,2887654952534820,2887912374138290,2889019127874140,2890933447327760,2892596316160450,2893743961842030,2890830897075920,2894006659238590,2893094743095250,2892579652986270,2892378453874270,2895179744359340,2894195014652640,2890788188688760,2894100127200990,2891617588628150,2894230253894080,2891920191922690,2893776750328720,2892864362085790,2892739548973910,2894477697778670,2892939771403580
2018,2893199899776290,2884250507109840,2895284385522360,2894475237152930,2890923995490420,2891739453471650,2894665883436250,2893196747011030,2893214480275830,2891988407945600,2888840956059800,2893328383756470,2889104315100660,2887448068311610,2896339818212100,2887536232847550,2893146512326940,2887280297976300,2881518845457860,2893454879720600,2893866190044770,2890617573883470,2894640575107370,2895746803074300,2896455409742080,2883140298518040,2896170135925240,2885105720931720,2886549651700920,2895536082591660,2896218101765340,2889387104893520,2893260432528190,2892372890485220,2895042847634330,2895913506931340,2894688904960700,2893878775751390,2893530158132650,2893184428696540,2895941350575640,2895311685408280,2891329857431420,2893793852183230,2887109496482160,2894440342520380,2892299149887230,2889901212209540,2895891464202660,2888135815132750,2886901767972320,2887227620083340,2888490942263110,2890622601644500,2892383945527970,2893681863881740,2890509072323250,2893958890990260,2892948783646170,2892439148265060,2892210557706870,2895260172839220,2894167888935480,2890435271945410,2894083649819150,2891305935936270,2894219666292340,2891659306412940,2893734145766960,2892697004183600,2892582133021300,2894497252737520,2892804225238810
2019,2893099432987290,2883235763140760,2895386595995380,2894477892437300,2890662342532100,2891507930134410,2894697183744610,2893096211942570,2893114173626400,2891821202476920,2888265627880730,2893194975825640,2888563350293460,2886747821008550,2896524588569670,2886826123800020,2893083823263870,2886687347387620,2880295626448110,2893389981528530,2893862787551740,2890323263656090,2894683809400590,2895905410540990,2896648361610640,2882065304192550,2896335480734430,2884300319008430,2885862888102830,2895648680274710,2896403581885240,2888980708022060,2893157398978170,2892147509682400,2895114836158590,2896067126144090,2894724194174540,2893860786426220,2893481685846850,2893088180383220,2896094526171570,2895417288631790,2891051566697700,2893766855398150,2886460386873560,2894479067084630,2892104566955930,2889471702825630,2896034284098650,2887613332324030,2886146696154420,2886546780852640,2887968873736060,2890320281809400,2892172361890710,2893624177729160,2890195918480500,2893914582789320,2892805228108680,2892308271086210,2892049905735200,2895344077453290,2894143459794480,2890088537207550,2894070802754830,2890996588910060,2894212326410430,2891401485986580,2893697783019130,2892533466632000,2892430108256640,2894521232820430,2892674143658280
2020,2893002320961740,2882215955117140,2895493111177620,2894481578944710,2890408680905970,2891279895331520,2894731601920520,2892999057487660,2893017227472640,2891661403306560,2887687831840270,2893061487139410,2888019608633610,2886046404125120,2896711388357010,2886112252169190,2893028447263760,2886103195061760,2879077570198110,2893329195796480,2893865919845770,2890035408310620,2894730663678750,2896068294823290,2896843159527130,2880993624944020,2896502928207050,2883503414735200,2885183834419340,2895763351836870,2896592671586290,2888581888115540,2893056265546930,2891921637911840,2895188995668610,2896223956946340,2894762295278850,2893847358825470,2893438550674670,2892995958062500,2896250977354240,2895526817620940,2890776868369460,2893745093606350,2885817295672830,2894522912586800,2891912299538500,2889044126579190,2896179206116320,2887098258668220,2885391008381870,2885868578166420,2887453231446510,2890024754077510,2891961570623640,2893569685085770,2889889449418210,2893872910525780,2892663734966780,2892184231321320,2891895318651790,2895430740887410,2894120593575090,2889745849611930,2894061531895160,2890688634158710,2894207611767260,2891147283020680,2893665970353940,2892372110142010,2892281944454150,2894549206353000,2892548071142940
2021,2892907800683740,2881198763559960,2895601873553640,2894486188559950,2890161907340820,2891054823606190,2894768537807120,2892904454405280,2892922784791960,2891509045208930,2887106621851000,2892927359841760,2887473420411520,2885343278739900,2896900353546770,2885395490326610,2892979280243670,2885526547005140,2877860775494060,2893271415935240,2893874400469580,2889755423162600,2894780075293780,2896235820917030,2897039087575910,2879922658297170,2896672189307810,2882714165220160,2884510646419550,2895879376442250,2896784949209560,2888189665675640,2892956772852430,2891694009451480,2895265351394120,2896383022270250,2894801989964980,2893838095863780,2893399669173250,2892906543183410,2896409567897680,2895639852971970,2890505220282250,2893727553687600,2885179081045630,2894570906605060,2891721629414190,2888617382534350,2896325643018620,2886590868899070,2884634083500170,2885192715561470,2886940450670300,2889735046804290,2891750896882000,2893517549184160,2889588419149350,2893832966105780,2892523028737230,2892065964132410,2891745771570950,2895519767897760,2894099256757520,2889408200095380,2894054925921770,2890379817246130,2894205701285420,2890894913557840,2893637753298650,2892210013851680,2892137190821040,2894579857651700,2892425397155270
2022,2892815687837300,2880182152017600,2895712750825330,2894491596792310,2889921083263880,2890832685720110,2894807508410770,2892812274482900,2892830873208600,2891360964468760,2886521221080950,2892792207911990,2886924818381820,2884638248015660,2897090402730670,2884673497746830,2892935898008750,2884955424932160,2876645148763680,2893216465017120,2893888029623430,2889481485870560,2894832184694160,2896406872875540,2897235916355450,2878854173918820,2896842871918780,2881930894786030,2883842797363580,2895997004761140,2896978844945960,2887802973498460,2892858373552940,2891463310225880,2895343160411640,2896544074919220,2894843816255900,2893831518403990,2893364633159450,2892819033414790,2896569735965250,2895754964916940,2890235714052900,2893712578977810,2884545473056820,2894622667619160,2891531945619430,2888193749027830,2896473290712390,2886088357246440,2883874548170970,2884516187805650,2886432915304160,2889450278184260,2891540084939140,2893468147247130,2889292180208350,2893793980743650,2892382946586860,2891953126025710,2891600672869680,2895610390447600,2894079105652000,2889073604501770,2894050574509090,2890071887512630,2894205094297610,2890643675429840,2893612806489280,2892051136664370,2891995127408370,2894612832406530,2892305599948880
